image,variant,prompt,answer
001_correct,correct,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
001_incorrect,incorrect,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
003_correct,correct,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,yes
003_incorrect,incorrect,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
004_correct,correct,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,yes
004_incorrect,incorrect,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
005_correct,correct,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
005_incorrect,incorrect,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
006_correct,correct,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,yes
006_incorrect,incorrect,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,yes
007_correct,correct,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,yes
007_incorrect,incorrect,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,yes
012_correct,correct,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
012_incorrect,incorrect,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
014_correct,correct,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,yes
014_incorrect,incorrect,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
015_correct,correct,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
015_incorrect,incorrect,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
017_correct,correct,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,yes
017_incorrect,incorrect,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
018_correct,correct,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,yes
018_incorrect,incorrect,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,no
020_correct,correct,You are shown a social media post. Would you like this post? Reply with only 'yes' or 'no'.,yes
020_incorrect,incorrect,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",yes
021_correct,correct,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
021_incorrect,incorrect,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
023_correct,correct,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
023_incorrect,incorrect,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
025_correct,correct,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
025_incorrect,incorrect,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
026_correct,correct,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",yes
026_incorrect,incorrect,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
028_correct,correct,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
028_incorrect,incorrect,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
029_correct,correct,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
029_incorrect,incorrect,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
030_correct,correct,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",yes
030_incorrect,incorrect,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
032_correct,correct,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'yes' or 'no'.",no
