model,condition,phrasing,logprob_gap,decoded_gap_pct
,,,,
gemma-12b,baseline,single,-0.00015866046409121118,0.0
gemma-12b,baseline,yesno,-5.246338061047388e-05,0.0
gemma-12b,likes_only,single,-5.055654127392222e-05,0.0
gemma-12b,likes_only,yesno,-6.612213014212413e-05,0.0
gemma-12b,likes_only_noise,single,-6.321858592249735e-05,0.0
gemma-12b,likes_only_noise,yesno,-6.345771887800853e-05,0.0
gemma-12b,metrics,single,-0.00012379230714142277,0.0
gemma-12b,metrics,yesno,-6.285679795097249e-05,0.0
gemma-e4b,baseline,single,-0.0059766917494776806,4.0000000000000036
gemma-e4b,baseline,yesno,-1.0281891280977503e-06,0.0
gemma-e4b,likes_only,single,8.600383374679499e-05,0.0
gemma-e4b,likes_only,yesno,1.6534719640872781e-06,0.0
gemma-e4b,likes_only_noise,single,-0.0006944052790675004,0.16666666666667052
gemma-e4b,likes_only_noise,yesno,3.6799405182534898e-06,0.0
gemma-e4b,metrics,single,-1.9576222942463417e-05,0.0
gemma-e4b,metrics,yesno,2.0801910296244856e-06,0.0
qwen3-vl-4b,baseline,single,0.013220444207778903,0.0
qwen3-vl-4b,baseline,yesno,0.010289510752858,0.0
qwen3-vl-4b,likes_only,single,0.00032094283629646725,0.0
qwen3-vl-4b,likes_only,yesno,0.00022114384475324655,0.0
qwen3-vl-4b,likes_only_noise,single,0.0003038508366014492,0.0
qwen3-vl-4b,likes_only_noise,yesno,0.00021773286216408838,0.0
qwen3-vl-4b,metrics,single,0.011720901266713657,0.0
qwen3-vl-4b,metrics,yesno,0.006142984488144321,0.0
qwen3-vl-8b,baseline,single,0.007083344127270282,0.0
qwen3-vl-8b,baseline,yesno,0.16442993470272876,18.000000000000004
qwen3-vl-8b,likes_only,single,0.24797315041112553,39.0
qwen3-vl-8b,likes_only,yesno,0.07947624356185357,10.499999999999998
qwen3-vl-8b,likes_only_noise,single,0.26468495481450727,27.0
qwen3-vl-8b,likes_only_noise,yesno,0.061766500499506716,5.666666666666664
qwen3-vl-8b,metrics,single,0.20998706947052392,37.166666666666664
qwen3-vl-8b,metrics,yesno,0.07598674974160058,8.833333333333327
