model,condition,phrasing,n,decoded_rate_pct,mean_p_like,std_p_like,pct_confident
gemma-12b,baseline,single,200,0.0,0.0002,0.0001,100.0
gemma-12b,baseline,yesno,200,0.0,0.0,0.0,100.0
gemma-12b,likes_only,single,1200,0.0,0.0004,0.0002,100.0
gemma-12b,likes_only,yesno,1200,0.0,0.0001,0.0001,100.0
gemma-12b,likes_only_noise,single,1200,0.0,0.0004,0.0002,100.0
gemma-12b,likes_only_noise,yesno,1200,0.0,0.0001,0.0001,100.0
gemma-12b,metrics,single,1200,0.0,0.0003,0.0002,100.0
gemma-12b,metrics,yesno,1200,0.0,0.0001,0.0001,100.0
gemma-e4b,baseline,single,200,96.0,0.9942,0.0457,95.5
gemma-e4b,baseline,yesno,200,0.0,0.0,0.0,100.0
gemma-e4b,likes_only,single,1200,99.7,0.9997,0.002,99.2
gemma-e4b,likes_only,yesno,1200,0.0,0.0,0.0001,100.0
gemma-e4b,likes_only_noise,single,1200,99.6,0.9989,0.0241,99.4
gemma-e4b,likes_only_noise,yesno,1200,0.0,0.0,0.0001,100.0
gemma-e4b,metrics,single,1200,100.0,1.0,0.0004,100.0
gemma-e4b,metrics,yesno,1200,0.0,0.0001,0.0011,99.8
qwen3-vl-4b,baseline,single,200,100.0,0.9173,0.0798,3.5
qwen3-vl-4b,baseline,yesno,200,100.0,0.9362,0.0435,0.5
qwen3-vl-4b,likes_only,single,1200,100.0,0.9995,0.0012,99.8
qwen3-vl-4b,likes_only,yesno,1200,100.0,0.9995,0.0007,99.9
qwen3-vl-4b,likes_only_noise,single,1200,100.0,0.9995,0.0013,99.6
qwen3-vl-4b,likes_only_noise,yesno,1200,100.0,0.9995,0.0007,100.0
qwen3-vl-4b,metrics,single,1200,100.0,0.9605,0.0499,27.0
qwen3-vl-4b,metrics,yesno,1200,100.0,0.9709,0.0342,24.9
qwen3-vl-8b,baseline,single,200,0.0,0.0096,0.0194,78.0
qwen3-vl-8b,baseline,yesno,200,18.0,0.4599,0.2459,0.0
qwen3-vl-8b,likes_only,single,1200,50.3,0.3093,0.2644,3.4
qwen3-vl-8b,likes_only,yesno,1200,91.4,0.9012,0.1195,8.1
qwen3-vl-8b,likes_only_noise,single,1200,71.8,0.4739,0.2998,1.8
qwen3-vl-8b,likes_only_noise,yesno,1200,95.3,0.9345,0.103,21.1
qwen3-vl-8b,metrics,single,1200,50.9,0.289,0.233,2.5
qwen3-vl-8b,metrics,yesno,1200,93.9,0.9007,0.1089,3.1
